mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus,PC 1,PC 2,PC 3
mp-631,TiC,0.132548146,4.879906981,0.0,176.0,253.0,0.02,0.22,429.44,-0.09292501593661821,-0.08432464536751744,-0.05860184807950717
mp-692,Tb2C,0.114480604,7.804876642999999,0.0,27.0,61.0,2.8,0.31,70.74,-0.9901981728205479,0.5525337203728485,0.4054215390092818
mp-7159,La3TlC,0.20918678899999998,7.26925063,0.0,40.0,63.0,0.01,0.24,99.2,0.26226906183298776,1.1824192676242782,2.207553497800337
mp-8044,V2PC,0.10646944,5.394856627999999,0.0,149.0,227.0,0.4,0.23,366.54,-0.41698540729217776,-0.26976987425839444,0.17473101139275796
mp-9960,Y3TlC,0.201398938,6.6876866370000005,0.0,64.0,75.0,0.02,0.17,149.76,0.42410082311714375,0.06322428039109292,0.6561069824551115
mp-999088,ThCoC2,0.139732325,9.873036294,0.0,93.0,186.0,0.31,0.29,239.94,-1.0612850305848662,0.09497478462760577,0.45334718296425297
mp-10036,Ce3AlC,0.143382178,6.346866112000001,0.0,42.0,81.0,0.17,0.28,107.52,-2.286999294330289,0.6162986276653097,2.359606515612254
mp-1025181,Tm2Cr2C3,0.200402595,8.691772497,0.0,77.0,167.0,0.64,0.3,200.2,-1.7111695713766288,-0.2287545133215634,0.886143646592594
mp-1025266,Tb2Cr2C3,0.159526965,7.969868448,0.0,68.0,149.0,0.81,0.3,176.8,-1.3178603164389129,0.8791433226715105,1.059223005111739
mp-1025379,Tb2B4C,0.11160151300000001,7.524539847000001,0.0,124.0,162.0,0.58,0.2,297.6,-1.4310931347661795,0.9310691001810388,0.7501747653314944
mp-10270,ScCo3C,0.157408118,7.010072672000001,0.0,99.0,214.0,0.26,0.3,257.4,-0.7718302931994107,-0.3415854543692518,-0.26276912835518745
mp-1029784,Rb2CN2,0.37613456100000003,3.251033572,0.0,10.0,26.0,3.32,0.33,26.6,2.2598923899577863,0.08677119581466566,2.692728999134444
mp-10408,K2CN2,0.33783533200000004,2.096868931,0.0,13.0,30.0,1.79,0.31,34.06,2.524743864292553,-0.24581468861583858,3.1732186356360117
mp-10606,Sm3TlC,0.256997686,8.540946131,0.0,48.0,62.0,0.0,0.19,114.24,1.3787170601021854,0.30709757503171975,0.5698173461289174
mp-10854,Tb(BC)2,0.092162679,6.571371002999999,0.0,126.0,180.0,0.88,0.22,307.44,-0.9700012773216791,0.5692926436104584,0.6163810468168894
mp-12317,SrCN2,0.16824794199999998,3.01144999,0.0,17.0,57.0,3.03,0.37,46.58,0.2667952659070077,1.8787218493660125,1.147550814139878
mp-13263,Ce2Mo2C3,0.138123918,7.878984335,0.0,81.0,137.0,0.36,0.25,202.5,-1.9206555254382165,0.250227379296763,2.381463755159371
mp-16297,Sc3SnC,0.120194416,4.725012085,0.0,82.0,102.0,0.04,0.18,193.52,-0.49086622593729073,-0.2514402101338077,0.05528108964627448
mp-19821,Cr2GeC,0.19946788199999999,6.955160667,0.14202906199999998,82.0,202.0,0.08,0.32,216.48,-0.5158048272328074,-0.026958095309362256,0.3974279170017573
mp-20753,CeCoC2,0.146087973,7.309879362,0.0,76.0,144.0,0.39,0.27,193.04,-1.1773840820085248,0.22130924312103373,0.9029794393637489
mp-20906,HoCoC,0.150535312,8.749995465,0.0,57.0,137.0,1.61,0.32,150.48,-0.9306080108201646,-0.3660833839434879,0.1898681917169931
mp-21017,Y3PbC,0.169376002,6.774895906,0.0,58.0,76.0,0.06,0.19,138.04,-0.4228254780642092,0.8720897472364009,0.06940895555109411
mp-21313,Mn3GaC,0.09495205699999999,7.230363272000001,0.0,115.0,208.0,0.51,0.27,292.1,-0.26339065619166274,-0.34003949662482935,-0.3787490313589213
mp-22120,YRh3C,0.136321258,9.25327076,0.0,80.0,197.0,0.0,0.32,211.2,-0.4747717877553153,0.15682329276251508,-0.2623421941042722
mp-22156,Hf2InC,0.122574675,11.27081086,0.0,92.0,130.0,0.1,0.21,222.64,-0.3091717749618399,-0.2415165077141223,-0.5946113308665109
mp-23062,YCI,0.17451607100000002,4.900237915,0.0,7.0,14.0,320.71,0.3,18.2,-0.049801440468156925,0.0176760264053155,0.16227638981118236
mp-29826,ZnCN2,0.092290325,3.1917088,0.0,24.0,73.0,1.3,0.35,64.8,-0.16091757598574635,1.0627236464234167,0.9539987745501863
mp-3732,Ti2CS,0.162565401,4.634878109,0.0,134.0,180.0,0.09,0.2,321.6,0.08204258890658858,-0.15804532078274283,-0.5202929694223764
mp-3953,CaCO3,0.493603454,2.607924056,0.0,32.0,76.0,1.4,0.31,83.84,0.44164324249640186,1.8369770426618288,0.7431189961345739
mp-4992,ScCrC2,0.15922282699999998,4.839726525,0.0,133.0,209.0,0.16,0.24,329.84,-0.49008797851007957,0.07245816988154437,0.49794824897307394
mp-505825,Cs2PtC2,0.34508484700000003,5.334606673,0.0,14.0,33.0,14.94,0.31,36.68,2.136224011428553,-1.86727719490763,2.2145963161341857
mp-5504,BaCO3,0.489277103,4.099746929,0.0,22.0,50.0,0.4,0.31,57.64,1.357118129736769,1.7967469462752883,-1.405977071204618
mp-567601,Sr4CN4,0.248099011,4.0248373410000005,0.0,23.0,51.0,0.61,0.31,60.26,1.5470948436433243,5.363181611072868,2.4722543854192565
mp-568541,Dy2B4C,0.164810298,7.773073654,0.0,122.0,163.0,0.72,0.2,292.8,-1.4676781478212477,0.373478021069472,0.6612800002555254
mp-616458,Cs2CO3,0.561095937,4.0515645739999995,0.0,7.0,20.0,1.52,0.34,18.76,3.0226003092261142,-1.0923452434432859,1.6068583448517788
mp-643367,YCBr,0.114253058,4.453038643,0.0,10.0,22.0,13.14,0.31,26.2,0.005025177549514959,-0.03508423418787935,0.21369464637358196
mp-6940,U2IrC2,0.135886989,15.22388038,0.0,51.0,195.0,1.38,0.38,140.76,-1.1194702754896702,0.03391164380018256,1.3249481842858717
mp-7814,Ta2CS2,0.115998801,8.080862406,0.0,25.0,35.0,453.23,0.21,60.5,-0.31613539488107584,0.13700797240981957,-0.3838862809572779
