mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-214,ZrRu,0.10954887599999999,9.02937681,0.0,81,183,0.34,0.31,212.22
mp-2221,Zr2Ag,0.164930322,7.428326672000001,0.0,40,101,1.47,0.32,105.6
mp-22447,Zr3P,0.109573454,6.3787933489999995,0.0,64,125,0.03,0.28,163.84
mp-2283,ZrCo,0.140027452,7.649629437000001,0.0,44,131,0.03,0.35,118.8
mp-22871,ZrCl3,0.067377298,2.562224329,0.0,3,6,44.09,0.28,7.68
mp-229,ZrRh3,0.125301204,10.58653912,0.0,113,211,0.36,0.27,287.02
mp-23162,ZrCl2,0.095100627,3.8559743760000003,0.0,12,18,418.75,0.24,29.76
mp-23247,ZrBr3,0.07393320099999999,3.595098728,0.0,4,5,15.07,0.2,9.6
mp-23282,ZrI3,0.156001172,4.27336416,0.64732,3,3,12.08,0.17,7.02
mp-2348,Zr2Au,0.162481634,9.786632112000001,0.0,45,119,0.98,0.33,119.7
mp-24286,ZrH2,0.09539525199999999,5.5436218020000005,0.0,29,130,2.13,0.4,81.2
mp-2510,ZrHg,0.248150978,11.18802717,0.0,24,102,13.72,0.39,66.72
mp-266,Zr2Pd,0.128676727,7.845685146,0.0,49,123,0.56,0.33,130.34
mp-27440,ZrCl,0.09138034800000001,4.131904369,0.0,7,19,67.65,0.34,18.76
mp-27606,ZrAs2,0.086773505,6.847379373,0.0,71,110,0.15,0.24,176.08
mp-2772,ZrAl2,0.09827509,4.520876076,0.0,87,113,0.03,0.19,207.06
mp-2795,ZrC,0.105359906,6.502963945,0.0,159,221,0.03,0.21,384.78
mp-2858,ZrO2,0.52810993,5.563611227000001,0.0,85,183,0.45,0.3,221.0
mp-30619,Zr3Co,0.123862557,6.915075582,0.0,34,104,0.17,0.35,91.8
mp-30682,ZrGa,0.11552968300000001,6.856706466,0.0,73,114,0.66,0.24,181.04
mp-30683,ZrGa2,0.11672465800000001,7.049949998,0.0,64,100,0.11,0.24,158.72
mp-30684,Zr3Ga2,0.115719031,6.802046094,0.0,67,112,0.35,0.25,167.5
mp-30686,Zr2Ga3,0.11842264,7.100975172,0.0,67,111,0.08,0.25,167.5
