mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-21075,HfC,0.106749266,12.57416751,0.0,180,236,0.02,0.2,432.0
mp-21104,Hf5Sn3,0.113009666,11.68748378,0.0,47,113,0.62,0.32,124.08
mp-2126,HfIr3,0.131220778,20.07022773,0.0,149,276,0.84,0.27,378.46
mp-21340,HfGePt,0.129803266,14.41980722,0.0,79,177,0.12,0.31,206.98
mp-2180,HfSb2,0.09989513800000001,9.507866352999999,0.0,49,84,0.16,0.26,123.48
mp-22050,Hf2In5,0.135308641,9.280932966,0.0,45,72,0.15,0.24,111.6
mp-22434,HfFeP,0.14317211300000002,10.75533525,0.0,125,213,0.13,0.25,312.5
mp-2337,HfCo2,0.156544295,12.0893888,0.0,74,156,0.03,0.3,192.4
mp-2363,HfMo2,0.11864999,11.27480798,0.0,68,200,0.08,0.35,183.6
mp-27731,HfH2,0.098401911,11.46564762,0.0,34,149,2.78,0.4,95.2
mp-2802,HfRu,0.11076774199999999,13.59548912,0.0,97,197,0.31,0.29,250.26
mp-2828,HfN,0.154963491,13.68399703,0.0,156,266,0.5,0.25,390.0
mp-28919,Hf3Te2,0.195956872,9.956184756,0.0,20,27,17.03,0.21,48.4
mp-29646,HfAs2,0.087095486,9.533367619,0.0,75,115,0.17,0.23,184.5
mp-30383,Hf2Au,0.16611088699999998,14.86883816,0.0,59,134,0.51,0.31,154.58
mp-30572,Hf2Ga,0.117179243,11.88891965,0.0,63,119,0.3,0.27,160.02
mp-30581,Hf2Cu,0.132416958,12.40423969,0.0,58,123,0.31,0.3,150.8
mp-31469,Hf5CuSn3,0.120079974,11.70255254,0.0,62,118,0.14,0.28,158.72
mp-32887,HfTe2,0.19401238199999998,6.750964371,0.0,12,15,5.62,0.18,28.32
mp-352,HfO2,0.551274942,9.967760512,0.0,99,205,0.39,0.29,255.42
mp-3576,HfGaCo2,0.149788507,11.08926106,0.0,77,174,0.23,0.31,201.74
mp-3650,HfCu2Te3,0.227615543,7.568477435,0.0,23,40,0.36,0.26,57.96
mp-504659,Hf2P,0.10505701699999999,11.58532096,0.0,76,149,0.37,0.28,194.56
mp-510691,Hf5Sn4,0.113869476,11.51977858,0.0,63,112,0.14,0.26,158.76
mp-514,HfZn2,0.16645921800000002,10.32375427,0.0,58,113,0.01,0.28,148.48
mp-5221,HfAlCo2,0.139525603,9.779117756,0.0,89,172,0.05,0.28,227.84
mp-567817,HfGeTe4,0.220188264,6.835810424,0.0,11,13,4.95,0.18,25.96
mp-568002,HfI3,0.165849991,5.400571418999999,0.0,2,4,26.87,0.31,5.24
mp-568718,HfAl3,0.093523444,6.258946748,0.0,80,106,0.07,0.2,192.0
mp-5748,HfAlNi2,0.12898172300000002,9.53065434,0.0,49,164,0.12,0.36,133.28
mp-722913,Hf3Zn3N,0.158748415,11.34403775,0.0,83,134,0.0,0.24,205.84
mp-753781,EuHfO3,0.494254569,8.894546506000001,0.0,107,205,0.32,0.28,273.92
mp-755352,Li2HfO3,0.5526835920000001,6.52332648,0.0,68,106,1.61,0.24,168.64
mp-819,HfCr2,0.213503683,10.50798899,0.0,68,191,0.02,0.34,182.24
mp-861978,Hf2ReIr,0.121814061,17.42825204,0.0,105,216,0.03,0.29,270.9
mp-864647,Hf2N,0.133054712,13.23693341,0.0,141,195,-3.24,0.21,341.22
mp-864916,Hf2TcRh,0.123471984,13.32236044,0.0,89,190,0.24,0.3,231.4
mp-865066,HfInRh2,0.138892101,12.09739527,0.0,145,174,-4.87,0.17,339.3
mp-865166,HfPd5,0.158829978,12.27719935,0.0,70,169,0.5,0.32,184.8
mp-865178,Hf2IrRh,0.12464155,15.42087892,0.0,16,193,-60.45,0.46,46.72
mp-865500,Na2Hf2O5,0.469728617,6.266217796,0.0,33,99,-0.96,0.35,89.1
mp-865759,YbHfRh2,0.159977703,13.01941347,0.0,42,137,0.02,0.36,114.24
mp-866108,HfZn3,0.17153224600000003,9.584429998,0.0,-6,103,-8.27,0.53,-18.36
mp-866219,HfSnRu2,0.11010550300000001,12.35904997,0.0,109,202,0.0,0.27,276.86
mp-867834,LiHfPt2,0.153268375,14.65485719,0.0,18,143,8.13,0.44,51.84
mp-924128,HfNiSn,0.11661828800000001,10.34045801,0.0,80,105,0.01,0.19,190.4
mp-976273,Hf3Ge2,0.12145391400000001,11.89511185,0.0,84,129,0.22,0.23,206.64
mp-9922,HfS3,0.12431470900000001,5.091838017,0.0,12,18,32.49,0.23,29.52
mp-9938,Hf2Si,0.10321646699999999,11.37026205,0.0,100,141,0.1,0.21,242.0
mp-9939,Hf2Ge,0.12082842,12.21434254,0.0,93,133,0.09,0.22,226.92
mp-9953,HfP,0.09039541,9.617071687000001,0.0,86,148,0.7,0.26,216.72
mp-9954,HfAs,0.094304342,10.50738497,0.0,66,127,1.17,0.28,168.96
mp-1018709,Hf2GaSb3,0.105231515,9.767269922,0.0,64,88,0.18,0.21,154.88
mp-1025167,Hf(VGa2)2,0.12792799400000002,8.568621627999999,0.0,91,131,0.37,0.22,222.04
mp-1025193,HfGa5Co,0.12011967300000001,8.553411914,0.0,47,87,0.16,0.27,119.38
mp-1029330,Hf2SeN2,0.153350472,10.18628612,0.0,82,159,0.27,0.28,209.92
mp-1029359,CaHfN2,0.206636486,7.781490043,0.0,131,171,0.09,0.19,311.78
mp-1029730,Ca4HfN4,0.20554931699999998,4.26663835,0.0,42,88,0.65,0.3,109.2
mp-10322,BaHfN2,0.253405791,7.810629748999999,0.0,44,104,1.34,0.32,116.16
mp-12533,La2Hf2O7,0.489684691,7.857130848,0.0,89,165,0.01,0.27,226.06
mp-13137,Hf2CS,0.135853874,11.15244049,0.0,123,177,0.1,0.22,300.12
mp-13947,Rb2HfF6,0.300818842,4.657618969,0.0,10,22,0.36,0.3,26.0
mp-13948,Cs2HfF6,0.326427246,4.956427103,0.0,9,20,0.62,0.31,23.58
mp-15297,Hf6NiSb2,0.11738917900000001,12.20987986,0.0,71,126,0.13,0.26,178.92
mp-15986,Hf(CuP)2,0.11172188300000001,7.941810442,0.0,65,133,0.39,0.29,167.7
mp-16501,HfAlPd2,0.134459213,10.44984751,0.0,26,163,0.83,0.42,73.84
mp-20401,HfCuSi2,0.10142584,8.09919192,0.0,87,135,0.48,0.24,215.76
mp-20730,HfCo2Sn,0.143458614,11.27775416,0.0,78,164,0.26,0.3,202.8
mp-22156,Hf2InC,0.122574675,11.27081086,0.0,92,130,0.1,0.21,222.64
mp-22191,HfFeGe,0.154466239,11.12127076,0.0,91,197,0.25,0.3,236.6
mp-22315,HfCoSn,0.13137054,11.31261398,0.0,72,140,0.29,0.28,184.32
mp-22489,HfCuSi,0.121171001,9.807822548999999,0.0,85,155,0.19,0.27,215.9
mp-22637,HfNbP,0.10993765400000001,9.894290736,0.0,99,179,0.38,0.27,251.46
mp-29154,Hf2CoP,0.11938797,11.44378749,0.0,86,166,0.39,0.28,220.16
mp-29398,Cs2HfI6,0.240784656,4.629361638,0.0,4,7,0.16,0.25,10.0
mp-29419,Hf(Te2Cl3)2,0.12780476699999999,3.77054747,0.0,2,7,21.79,0.39,5.56
mp-3378,SrHfO3,0.537600255,7.508740709,0.0,91,157,0.03,0.26,229.32
mp-561442,Y2Hf2O7,0.502255595,7.366993711,0.29495625,96,171,0.03,0.26,241.92
mp-567220,Hf2SbP,0.099311665,10.20499005,0.0,70,124,0.88,0.26,176.4
mp-570784,Hf2Al3C4,0.088639186,7.5595890820000005,0.0,156,197,0.04,0.19,371.28
mp-571147,Hf(SiNi)2,0.106785765,8.567434555,0.0,76,174,0.22,0.31,199.12
mp-571619,HfAlPt,0.11427336199999999,12.571930900000002,0.0,76,163,0.42,0.3,197.6
mp-5918,Hf2NiP,0.11585780400000001,11.39762285,0.0,94,167,0.23,0.26,236.88
mp-600125,HfInCu2,0.162341808,10.62059265,0.0,49,123,1.36,0.32,129.36
mp-753669,Hf(MnSn)6,0.105043421,8.947031143,0.0,72,113,0.29,0.24,178.56
mp-861875,LiHf2Re,0.137202777,12.90312181,0.0,48,136,0.09,0.34,128.64
mp-862610,LiHfIr2,0.152533683,15.39350045,0.0,67,172,0.09,0.33,178.22
mp-864715,HfInCo2,0.16424439300000002,11.38323869,0.0,76,160,0.19,0.29,196.08
mp-864734,HfInPd2,0.154999508,11.70613839,0.0,30,145,6.63,0.4,84.0
mp-864798,HfZnIr2,0.14550903199999998,16.54244346,0.0,87,213,0.56,0.32,229.68
mp-864807,HfZnNi2,0.158155971,10.75546822,0.0,49,151,0.67,0.35,132.3
mp-864835,Hf2CoIr,0.134267617,15.20009107,0.0,40,190,1.96,0.4,112.0
