element,atomic_mass,poissons_ratio,atomic_radius,electrical_resistivity,molar_volume,thermal_conductivity,bulk_modulus,youngs_modulus,group,is_noble_gas,is_transition_metal,is_post_transition_metal,is_rare_earth_metal,is_metalloid,is_alkali,is_alkaline,is_halogen,is_lanthanoid,is_actinoid,van_der_waals_radius,velocity_of_sound,critical_temperature,superconduction_temperature,average_cationic_radius,average_anionic_radius,ionic_radii,boiling_point,vickers_hardness,average_ionic_radius,melting_point,rigidity_modulus,Z,number,density_of_solid,coefficient_of_linear_thermal_expansion
Ba,137.327,,2.15,3.40E-07,38.16,18,9.6,13,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2.68,1620,,,1.49,0,{2: 1.49},2143,,1.49,1000.0 K,4.9,56,56,3510,2.06E-05
Hf,178.49,0.37,1.55,3.40E-07,13.44,23,110,78,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3010,,0.128,0.85,0,{4: 0.85},4876,1760,0.85,2506.0 K,30,72,72,13310,5.90E-06
Ta,180.94788,0.34,1.45,1.35E-07,10.85,57,200,186,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3400,,4.47,0.82,0,"{3: 0.86, 4: 0.82, 5: 0.78}",5731,873,0.82,3290.0 K,69,73,73,16650,6.30E-06
W,183.84,0.28,1.35,5.40E-08,9.47,170,310,411,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5174,,0.015,0.766666667,0,"{4: 0.8, 5: 0.76, 6: 0.74}",5828,3430,0.766666667,3695.0 K,161,74,74,19250,4.50E-06
Re,186.207,0.3,1.35,1.80E-07,8.86,48,370,463,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4700,,1.7,0.7125,0,"{4: 0.77, 5: 0.72, 6: 0.69, 7: 0.67}",5869,2450,0.7125,3459.0 K,178,75,75,21020,6.20E-06
Os,190.23,0.25,1.3,8.10E-08,8.42,88,,,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4940,,0.66,0.673,0,"{4: 0.77, 5: 0.715, 6: 0.685, 7: 0.665, 8: 0.53}",5285,,0.673,3306.0 K,222,76,76,22610,5.10E-06
Ir,192.217,0.26,1.35,4.70E-08,8.52,150,320,528,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4825,,0.11,0.765,0,"{3: 0.82, 4: 0.765, 5: 0.71}",4701,1760,0.765,2739.0 K,210,77,77,22650,6.40E-06
Pt,195.084,0.38,1.35,1.06E-07,9.09,72,230,168,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.75,2680,,,0.805,0,"{2: 0.94, 4: 0.765, 5: 0.71}",4098,549,0.805,2041.4 K,61,78,78,21090,8.80E-06
Au,196.966569,0.44,1.35,2.20E-08,10.21,320,220,78,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.66,1740,,,1.07,0,"{1: 1.51, 3: 0.99, 5: 0.71}",3129,216,1.07,1337.33 K,27,79,79,19300,1.42E-05
Hg,200.59,,1.5,9.60E-07,14.09,8.3,25,,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.55,1407,1750,3.95,1.245,0,"{1: 1.33, 2: 1.16}",629.88,,1.245,234.32 K,,80,80,,
Tl,204.3833,0.45,1.9,1.50E-07,17.22,46,43,8,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.96,818,,2.38,1.3325,0,"{1: 1.64, 3: 1.025}",1746,,1.3325,577.0 K,2.8,81,81,11850,2.99E-05
Pb,207.2,0.44,1.8,2.10E-07,18.26,35,46,16,14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.02,1260,,7.2,1.1225,0,"{2: 1.33, 4: 0.915}",2022,,1.1225,600.61 K,5.6,82,82,11340,2.89E-05
Bi,208.9804,0.33,1.6,1.30E-06,21.31,8,31,32,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.07,1790,,,1.035,0,"{3: 1.17, 5: 0.9}",1837,,1.035,544.4 K,12,83,83,9780,1.34E-05
Po,210,,1.9,4.00E-07,22.97,20,,,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.97,,,,0.945,0,"{4: 1.08, 6: 0.81}",1235,,0.945,527.0 K,,84,84,9196,
At,210,,,,,2,,,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2.02,,,,0.76,0,{7: 0.76},,,0.76,575.0 K,,85,85,,
Rn,220,,,,50.5,0.00361,,,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.2,,377,,0,0,{},211.3,,0,202.0 K,,86,86,,
Fr,223,,,,,,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.48,,,,1.94,0,{1: 1.94},,,1.94,maybe about 300 K,,87,87,,
Ra,226,,2.15,1.00E-06,41.09,19,,,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2.83,,,,1.62,0,{2: 1.62},2010,,1.62,973.0 K,,88,88,5000,
Lr,262,,,,,,,,17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,0,0,{},,,0,1900.0 K,,103,103,,
La,138.90547,0.28,1.95,6.15E-07,22.39,13,28,37,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2475,,6,1.172,0,{3: 1.172},3743,491,1.172,1193.0 K,14,57,57,6146,1.21E-05
Ce,140.116,0.24,1.85,7.40E-07,20.69,11,22,34,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2100,,0.022,1.08,0,"{3: 1.15, 4: 1.01}",3633,270,1.08,1068.0 K,14,58,58,6689,6.30E-06
Pr,140.90765,0.28,1.85,7.00E-07,20.8,13,29,37,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2280,,,1.06,0,"{3: 1.13, 4: 0.99}",3563,400,1.06,1208.0 K,15,59,59,6640,6.70E-06
Nd,144.242,0.28,1.85,6.43E-07,20.59,17,32,41,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2330,,,1.2765,0,"{2: 1.43, 3: 1.123}",3373,343,1.2765,1297.0 K,16,60,60,6800,9.60E-06
Pm,145,0.28,1.85,7.50E-07,20.23,15,33,46,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,1.11,0,{3: 1.11},3273,,1.11,1373.0 K,18,61,61,7264,1.10E-05
Sm,150.36,0.27,1.85,9.40E-07,19.98,13,38,50,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2130,,,1.229,0,"{2: 1.36, 3: 1.0979999999999999}",2076,412,1.229,1345.0 K,20,62,62,7353,1.27E-05
Eu,151.964,0.15,1.85,9.00E-07,28.97,14,8.3,18,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,1.1985,0,"{2: 1.31, 3: 1.087}",1800,167,1.1985,1099.0 K,7.9,63,63,5244,3.50E-05
Gd,157.25,0.26,1.8,1.31E-06,19.9,11,38,55,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2680,,1.083,1.075,0,{3: 1.075},3523,570,1.075,1585.0 K,22,64,64,7901,9.40E-06
Tb,158.92535,0.26,1.75,1.15E-06,19.3,11,38.7,56,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2620,,,0.9815,0,"{3: 1.063, 4: 0.9}",3503,863,0.9815,1629.0 K,22,65,65,8219,1.03E-05
Dy,162.5,0.25,1.75,9.26E-07,19.01,11,41,61,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2710,,,1.131,0,"{2: 1.21, 3: 1.052}",2840,540,1.131,1680.0 K,25,66,66,8551,9.90E-06
Ho,164.93032,0.23,1.75,8.14E-07,18.74,16,40,65,13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2760,,,1.041,0,{3: 1.041},2993,481,1.041,1734.0 K,26,67,67,8795,1.12E-05
Er,167.259,0.24,1.75,8.60E-07,18.46,15,44,70,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2830,,,1.03,0,{3: 1.03},3141,589,1.03,1802.0 K,28,68,68,9066,1.22E-05
