mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-1029739,Li6FeN4,0.24424175742746204,2.4799371669257533,0.0,69.0,84.0,0.02,0.17,161.45999999999995
mp-10445,Sc6FeTe2,0.1941346317857757,4.9089042046840845,0.0,32.0,68.0,1.23,0.29,82.56
mp-18750,Mn(FeO2)2,0.4968106341675815,4.77457823904019,0.0,59.0,158.0,0.63,0.33,156.94
mp-18924,Sr3(FeO3)2,0.5337605861407245,4.943361645847292,0.0,55.0,109.0,0.73,0.28,140.8
mp-21113,Y(FeGe)2,0.16988194597056885,7.1079597310891485,0.0,57.0,126.0,0.38,0.3,148.20000000000005
mp-4656,Y(Al2Fe)4,0.13357415184886798,4.612205621434769,0.0,85.0,123.0,0.17,0.22,207.4
mp-541196,Ce2Fe12P7,0.18136902482679093,7.54758423829157,0.0,112.0,180.0,0.13,0.24,277.76
mp-567636,VFeSb,0.14346294918194893,7.8237252908534005,0.0,62.0,160.0,0.49,0.33,164.92000000000004
mp-774155,Li2FeO3,0.6281668601388051,3.628809075015994,0.0,63.0,99.0,0.79,0.24,156.24
mp-862691,Al2FeCo,0.15084992827688273,5.977171478082613,0.0,117.0,181.0,0.24,0.23,287.82
mp-867216,TaFeRu2,0.1236201319787054,12.301920219995141,0.0,105.0,236.0,0.08,0.31,275.1
mp-867304,BeVFe2,0.1920003220884418,6.823927950272397,0.0,110.0,222.0,0.16,0.29,283.8
mp-867507,TaGaFe2,0.1831303139670774,11.799447669082904,0.0,124.0,224.0,0.03,0.27,314.96
mp-979267,Ta2FeMo,0.1463283420235767,13.620045837210329,0.0,98.0,218.0,0.6,0.3,254.8
mp-10755,TiFeSb,0.14279689597396342,7.055233350704827,0.0,53.0,114.0,0.11,0.3,137.8
mp-12077,Y(FeB)2,0.16947493920527334,5.9674379365622645,0.0,75.0,120.0,0.25,0.24,186.0
mp-12962,Zr6FeSb2,0.12096057843147195,7.276886289223003,0.0,58.0,113.0,0.11,0.28,148.48
mp-21363,TbFeSi,0.1343122029832427,7.506788296223648,0.0,54.0,88.0,0.88,0.25,135.0
mp-21883,VGaFe2,0.1926313797461748,8.260081041652537,0.0,122.0,225.0,0.03,0.27,309.88
mp-3299,Sr(FeP)2,0.19550052751793975,5.2294993112533685,0.0,57.0,92.0,1.12,0.24,141.36
mp-4939,Dy(FeSi)2,0.16826154390583853,7.34345070105442,0.0,84.0,149.0,0.17,0.26,211.68
mp-5372,RbFeS2,0.2543008406930701,3.1586920367926523,0.0,7.0,17.0,5.57,0.31,18.34
mp-579496,Fe3PtN,0.1915959768968402,10.875201077103958,0.0,100.0,214.0,0.08,0.3,260.0
mp-626680,Fe(HO)2,0.4391245871633099,3.385648190934757,0.4583850000017264,27.0,44.0,1.68,0.25,67.5
mp-866031,Al2FeIr,0.13580521487181216,9.665034987039776,0.0,99.0,182.0,0.66,0.27,251.46
mp-866375,TiFe2Ge,0.19972684237916305,7.947002590025137,0.0,127.0,215.0,0.0,0.25,317.5
mp-1018071,MnFe2Ge,0.17818629265494992,8.5873031821058,0.0,51.0,217.0,40.98,0.39,141.78
mp-16483,BaAl9Fe2,0.13972301430837555,3.7243295083372905,0.0,45.0,79.0,0.7,0.26,113.4
mp-19097,FeBO3,0.6047509602150205,4.108906898895016,0.0,93.0,174.0,0.54,0.27,236.22
mp-19225,FeAgO2,0.4799470645391793,6.307568894088197,0.0,41.0,131.0,4.98,0.36,111.52
mp-22698,DyFeSi,0.17598792325122878,7.731271210689283,0.0,55.0,92.0,0.89,0.25,137.5
mp-30073,La(FeSb3)4,0.1183066392181886,7.8101188244117585,0.0,56.0,88.0,0.32,0.24,138.88
mp-30551,GaFeCo2,0.17704786353696056,8.691986889856317,0.0,81.0,191.0,1.87,0.31,212.22
mp-3464,FeSiRu2,0.10981100280290496,9.193008838162203,0.0,116.0,237.0,0.02,0.29,299.2800000000001
mp-5288,Y(FeSi)2,0.14956770032236896,5.6830162683780205,0.0,80.0,140.0,0.13,0.26,201.6
mp-571500,Ho(FeB)2,0.1735182706004257,8.189445893753442,0.0,77.0,100.0,0.22,0.19,183.26
mp-690544,Ga2FeO4,0.5253411617198392,5.684689240639937,0.0,74.0,173.0,0.42,0.31,193.88
mp-862669,BeFe2Si,0.1702747319563653,6.269390828054855,0.0,122.0,223.0,0.43,0.27,309.88
mp-864890,Hf2FeIr,0.14258118802711173,14.898057437222654,0.0,65.0,188.0,0.0,0.34,174.20000000000005
mp-9549,ScFeGe,0.1535804375798964,5.968421754413581,0.0,53.0,101.0,0.55,0.28,135.68
mp-10884,AlFeCo2,0.16561678757850282,7.183512710543788,0.0,98.0,188.0,1.01,0.28,250.88
mp-11038,Zr6Al2Fe,0.11593527357972633,5.979508612096697,0.6823062777749911,48.0,105.0,0.0,0.3,124.8
mp-18969,FeCO3,0.5470532212255165,3.779463104417237,0.0,-4.0,111.0,-8.63,0.52,-12.16
mp-19112,FeSO4,0.5363093054539325,3.471794177389916,0.6200458333314174,39.0,73.0,0.32,0.27,99.06
mp-20690,NdFeSi,0.20752190866567607,6.57013858893239,0.0,45.0,59.0,1.58,0.2,108.0
mp-21495,CrFeP,0.2031953563609596,6.917186606244874,0.0,143.0,238.0,0.05,0.25,357.5
mp-557403,LiFe2F6,0.16008144939291774,3.626600190170163,0.0,33.0,72.0,0.77,0.3,85.8
mp-580234,Fe3RhN,0.18485878347620224,8.264551981653039,0.0,83.0,200.0,0.16,0.32,219.12
mp-6957,Ce(FeP)2,0.16027200221524826,7.040081781783568,0.0,86.0,113.0,2.15,0.2,206.4
mp-861672,Ti2FeIr,0.16811635255747065,9.950049065017925,0.0,72.0,191.0,0.04,0.33,191.52
mp-867249,TaAlFe2,0.16952002333910032,10.2376920474426,0.0,137.0,222.0,0.0,0.24,339.76
mp-867878,AlFe2Si,0.16212246129176208,6.289050035764848,0.0,124.0,216.0,0.1,0.26,312.48
mp-11705,Dy2Fe2Si2C,0.1744796793969142,7.804425157940714,0.0,83.0,127.0,0.53,0.23,204.18
mp-19017,LiFePO4,0.5281605073077549,3.4708958823634912,0.0,48.0,91.0,0.17,0.28,122.88
mp-558674,K2NaFeF6,0.3131620163600146,2.9758159256131105,0.0,30.0,99.0,0.0,0.36,81.6
mp-643264,BaMg2FeH8,0.17379314326416934,3.310495649052089,0.0,39.0,54.0,0.18,0.21,94.38
mp-18968,Li2FeSiO4,0.4993786355659096,3.129272616958105,0.0,44.0,88.0,0.28,0.28,112.64
mp-561067,KRb2FeF6,0.3500421155008848,3.4268223606196653,0.0,23.0,49.0,0.34,0.3,59.8
mp-19127,Sr2FeMoO6,0.5764546180915937,5.465475723894391,0.7381334166671749,-15.0,161.0,0.43,0.55,-46.5
mp-1025354,Er2Fe2Si2C,0.14906151429182124,8.070122738219048,0.0,85.0,139.0,0.45,0.25,212.5
mp-19226,NaFePO4,0.5374331018738084,3.5783228299071186,0.0,42.0,84.0,0.46,0.29,108.36
mp-998964,TiGaFeCo,0.1815656586239428,7.852732359070375,0.0,116.0,204.0,0.04,0.26,292.32
mp-1025262,Sm2Fe2Si2C,0.19485406368576572,7.012711217690293,0.0,72.0,128.0,0.91,0.26,181.44
mp-644264,Ca4Mg4Fe3H22,0.14480703268438752,2.4855974917700445,0.0,44.0,61.0,0.01,0.21,106.48
mp-9211,Tm2Fe2Si2C,0.1685114178255008,8.221256348591078,0.0,86.0,136.0,0.46,0.24,213.28
mp-1025339,Y2Fe2Si2C,0.14909469323306018,5.518674272107517,0.0,83.0,126.0,0.5,0.23,204.18
mp-558078,Rb2NaFeF6,0.3519389828897249,3.778508501013152,0.0,31.0,57.0,0.0,0.27,78.74
mp-6624,Tb2Fe2Si2C,0.13344869829192668,7.583527316438486,0.0,81.0,126.0,0.61,0.24,200.88
mp-998980,TiAlFeCo,0.1707558408601182,6.4231420270626645,0.0,127.0,175.0,0.01,0.21,307.34
mp-1025316,Ho2Fe2Si2C,0.15054940510822462,7.927919170981369,0.0,84.0,129.0,0.51,0.23,206.64
mp-1025357,Lu2Fe2Si2C,0.14549856856572418,8.519183743668963,0.0,85.0,141.0,0.37,0.25,212.5
mp-18878,LiFeAs2O7,0.4984981386663735,4.028044539275526,0.0,48.0,96.0,0.34,0.29,123.84
